Euclidean binary precision,Euclidean binary recall,Euclidean binary F-measure,Euclidean Term Frequency precision,Euclidean Term Frequency recall,Euclidean Term Frequency F-measure,Euclidean TF-IDF precision,Euclidean TF-IDF recall,Euclidean TF-IDF F-measure,Cosine binary precision,Cosine binary recall,Cosine binary F-measure,Cosine Term Frequency precision,Cosine Term Frequency recall,Cosine Term Frequency F-measure,Cosine TF-IDF precision,Cosine TF-IDF recall,Cosine TF-IDF F-measure,"
"
0.1,0.06896551724137931,0.08163265306122448,0.2,0.13793103448275862,0.16326530612244897,0.25,0.1724137931034483,0.20408163265306123,0.2,0.13793103448275862,0.16326530612244897,0.35,0.2413793103448276,0.2857142857142857,0.3,0.20689655172413793,0.24489795918367346,"
"
0.0,0.0,0,0.15,0.12,0.1333333333333333,0.25,0.2,0.22222222222222224,0.05,0.04,0.044444444444444446,0.15,0.12,0.1333333333333333,0.25,0.2,0.22222222222222224,"
"
0.15,0.3333333333333333,0.20689655172413793,0.2,0.4444444444444444,0.2758620689655173,0.4,0.8888888888888888,0.5517241379310346,0.2,0.4444444444444444,0.2758620689655173,0.3,0.6666666666666666,0.41379310344827586,0.4,0.8888888888888888,0.5517241379310346,"
"
0.0,0.0,0,0.0,0.0,0,0.1,0.6666666666666666,0.1739130434782609,0.05,0.3333333333333333,0.08695652173913045,0.05,0.3333333333333333,0.08695652173913045,0.1,0.6666666666666666,0.1739130434782609,"
"
0.0,0.0,0,0.0,0.0,0,0.1,0.4,0.16000000000000003,0.1,0.4,0.16000000000000003,0.0,0.0,0,0.1,0.4,0.16000000000000003,"
"
0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,"
"
0.05,0.16666666666666666,0.07692307692307691,0.15,0.5,0.23076923076923075,0.1,0.3333333333333333,0.15384615384615383,0.15,0.5,0.23076923076923075,0.15,0.5,0.23076923076923075,0.1,0.3333333333333333,0.15384615384615383,"
"
0.05,0.08333333333333333,0.0625,0.1,0.16666666666666666,0.125,0.2,0.3333333333333333,0.25,0.15,0.25,0.18749999999999997,0.15,0.25,0.18749999999999997,0.25,0.4166666666666667,0.3125,"
"
0.0,0.0,0,0.15,0.75,0.24999999999999997,0.15,0.75,0.24999999999999997,0.15,0.75,0.24999999999999997,0.15,0.75,0.24999999999999997,0.15,0.75,0.24999999999999997,"
"
0.05,0.1111111111111111,0.06896551724137932,0.1,0.2222222222222222,0.13793103448275865,0.15,0.3333333333333333,0.20689655172413793,0.25,0.5555555555555556,0.3448275862068966,0.1,0.2222222222222222,0.13793103448275865,0.15,0.3333333333333333,0.20689655172413793,"
"
